facility_name,county,facility_type,flag_reason,deficiency_tag,deficiency_summary,survey_date,reported_nurse_hprd,state_mandated_hprd,casemix_expected_hprd,staffing_rating,md_license_number,cms_ccn,source_portal,source_url,scraped_at_utc
ATLEE HILL HEALTH AND REHAB CENTER,Carroll,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.462; state minimum 3.76; casemix expected 3.710; staffing rating 3.,,3.46230,3.76,3.71031,3,,215247,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BIRCH MANOR,Carroll,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.460; state minimum 3.76; casemix expected 3.836; staffing rating 3.,,3.46036,3.76,3.83553,3,,215136,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT LONG VIEW,Carroll,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 4.096; state minimum 3.76; casemix expected 4.241; staffing rating 3.,,4.09584,3.76,4.24096,3,,215017,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COPPER RIDGE NURSING AND ASSISTED LIVING CENTER,Carroll,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.831; state minimum 3.76; casemix expected 4.406; staffing rating 2.,,3.83126,3.76,4.40578,2,,215265,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Mount Airy Nursing and Rehab Center,Carroll,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.455; state minimum 3.76; casemix expected 3.655; staffing rating 3.,,3.45491,3.76,3.65542,3,,215268,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Westminster Rehabilitation and Wellness Center,Carroll,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.592; state minimum 3.76; casemix expected 3.679; staffing rating 3.,,3.59243,3.76,3.67881,3,,215094,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CATONSVILLE,Catonsville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-08-18,,,,,,215097,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT SUMMIT PARK,Catonsville,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2025-08-27,,,,,,215326,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FOREST HAVEN NURSING AND REHABILITATION CTR,Catonsville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-09-15,,,,,,215252,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FREDERICK VILLA HEALTHCARE,Catonsville,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-08-28,,,,,,215178,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
MEADOW PARK REHABILITATION AND HEALTHCARE CENTER,Catonsville,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2019-04-17,,,,,,215347,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
RIDGEWAY REHAB CENTER,Catonsville,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2026-02-11,,,,,,215227,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CALVERT MANOR,Cecil,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.260; state minimum 3.76; casemix expected 4.039; staffing rating 2.,,3.26048,3.76,4.03947,2,,215189,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
ELKTON NURSING AND REHABILITATION CENTER,Cecil,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.536; state minimum 3.76; casemix expected 3.905; staffing rating 1.,,3.53621,3.76,3.90507,1,,215269,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Laurelwood Healthcare Center,Cecil,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.493; state minimum 3.76; casemix expected 3.676; staffing rating 4.,,3.49266,3.76,3.67633,4,,215111,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Complete Care at Corsica Hills LLC,Centreville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2024-07-12,,,,,,215114,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT LAPLATA LLC,Charles,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.422; state minimum 3.76; casemix expected 3.867; staffing rating 3.,,3.42163,3.76,3.86746,3,,215151,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
GREEN ACRES NURSING AND REHAB,Charles,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.551; state minimum 3.76; casemix expected 4.201; staffing rating 1.,,3.55071,3.76,4.20131,1,,215106,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
RESTORE HEALTH REHABILITATION CENTER,Charles,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.486; state minimum 3.76; casemix expected 3.875; staffing rating 3.,,3.48598,3.76,3.87467,3,,215362,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
WALDORF  CENTER,Charles,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.648; state minimum 3.76; casemix expected 3.655; staffing rating 3.,,3.64760,3.76,3.65452,3,,215273,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
Charlotte Hall Veterans Home,Charlotte Hall,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2022-08-15,,,,,,215161,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
CHESTERTOWN NURSING AND REHAB,Chestertown,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2025-08-13,,,,,,215260,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
RESORTS AT CHESTER RIVER MANOR CORP,Chestertown,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-12-16,,,,,,215262,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
WILLOW BROOKE CT SKILLED CARE CTR AT HERON POINT,Chestertown,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2024-02-23,,,,,,215235,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT CHEVY CHASE,Chevy Chase,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-04-28,,,,,,215029,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BRADFORD OAKS,Clinton,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-04-10,,,,,,215165,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FUTURE CARE PINEVIEW,Clinton,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-08-07,,,,,,215328,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Hidden Waters Rehabilitation and Wellness Center,Clinton,SNF,insufficient_staffing_citation,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,2023-05-16,,,,,,215231,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
MARYLAND MASONIC HOMES LTD,Cockeysville,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-06-02,,,,,,215361,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
LORIEN HEALTH SYSTEMS - COLUMBIA,Columbia,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2024-07-12,,,,,,215112,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
RESIDENCES AT VANTAGE POINT,Columbia,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2019-12-05,,,,,,215344,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ALICE BYRD TAWES NURSING HOME,Crisfield,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2024-11-20,,,,,,215058,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FAIRFIELD NURSING & REHABILITATION CENTER,Crownsville,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2025-09-17,,,,,,215236,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Cumberland Healthcare Center,Cumberland,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2025-10-09,,,,,,215055,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
DEVLIN MANOR NURSING AND REHABILITATION CENTER,Cumberland,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-03-20,,,,,,215244,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
LIONS REHAB  CENTER,Cumberland,SNF,insufficient_staffing_citation,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,2025-01-17,,,,,,215073,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
CAROLINE NURSING AND REHAB,Denton,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2024-11-22,,,,,,215083,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
DENTON NURSING AND REHAB,Denton,SNF,insufficient_staffing_citation,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,2024-11-01,,,,,,215149,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
MALLARD BAY NURSING AND REHAB,Dorchester,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.189; state minimum 3.76; casemix expected 4.284; staffing rating 2.,,3.18863,3.76,4.28380,2,,215191,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT HERITAGE LLC,Dundalk,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2025-09-16,,,,,,215135,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
PINES NURSING AND REHAB,Easton,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-09-04,,,,,,215010,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
WILLOWBROOKE CT SKILLED CARE CTR AT BAYLEIGH CHASE,Easton,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-01-17,,,,,,215137,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
South River Rehabilitation and Wellness Center,Edgewater,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-03-13,,,,,,215297,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
LORIEN NURSING & REHAB CTR - ELKRIDGE,Elkridge,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2026-02-12,,,,,,215357,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ELKTON NURSING AND REHABILITATION CENTER,Elkton,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-07-02,,,,,,215269,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Laurelwood Healthcare Center,Elkton,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2026-01-30,,,,,,215111,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ELLICOTT CITY HEALTHCARE CENTER,Ellicott City,SNF,insufficient_staffing_citation,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,2022-10-14,,,,,,215160,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
ENCORE AT TURF VALLEY,Ellicott City,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2021-11-24,,,,,,215355,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
The Lutheran Village At Miller's Grant,Ellicott City,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-06-26,,,,,,215363,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
STERLING CARE FOREST HILL,Forest Hill,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2024-08-14,,,,,,215194,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Forestville Rehabilitation and Wellness Center,Forestville,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2026-01-12,,,,,,215020,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FT Washington Rehabilitation and Wellness Center,Fort Washington,SNF,insufficient_staffing_citation,0713,Provide or arrange emergency care by a doctor 24 hours a day.,2025-08-07,,,,,,215146,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BALLENGER CREEK,Frederick,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.765; state minimum 3.76; casemix expected 4.433; staffing rating 3.,,3.76535,3.76,4.43310,3,,215001,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BALLENGER CREEK,Frederick,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2022-11-15,,,,,,215001,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BRADDOCK HEIGHTS,Frederick,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.433; state minimum 3.76; casemix expected 4.017; staffing rating 3.,,3.43253,3.76,4.01706,3,,215199,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BRADDOCK HEIGHTS,Frederick,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2024-08-16,,,,,,215199,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT GLADE VALLEY,Frederick,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.567; state minimum 3.76; casemix expected 4.072; staffing rating 2.,,3.56747,3.76,4.07212,2,,215313,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CITIZENS CARE AND REHABILITATION CENTER OF FREDERI,Frederick,SNF,below_casemix_expected_care_hours,,Reported nurse HPRD 3.805; state minimum 3.76; casemix expected 4.105; staffing rating 4.,,3.80472,3.76,4.10505,4,,215105,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
CITIZENS CARE AND REHABILITATION CENTER OF FREDERI,Frederick,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2019-06-18,,,,,,215105,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FREDERICK CROSSING OF JOURNEY,Frederick,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.548; state minimum 3.76; casemix expected 3.913; staffing rating 3.,,3.54843,3.76,3.91345,3,,215184,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
FREDERICK CROSSING OF JOURNEY,Frederick,SNF,insufficient_staffing_citation,0710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,2023-05-17,,,,,,215184,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
NORTHAMPTON MANOR NURSING AND REHABILITATION CENTE,Frederick,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.438; state minimum 3.76; casemix expected 3.487; staffing rating 4.,,3.43834,3.76,3.48703,4,,215217,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
NORTHAMPTON MANOR NURSING AND REHABILITATION CENTE,Frederick,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2024-08-29,,,,,,215217,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
FROSTBURG REHAB CENTER,Frostburg,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-08-13,,,,,,215115,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
MOUNTAIN CITY REHAB CENTER,Frostburg,SNF,insufficient_staffing_citation,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,2024-11-26,,,,,,215277,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
MONTGOMERY VILLAGE  CARE CENTER,Gaithersburg,SNF,insufficient_staffing_citation,0712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,2019-04-29,,,,,,215272,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT WAUGH CHAPEL,Gambrills,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2020-02-03,,,,,,215148,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
DENNETT REHAB CENTER,Garrett,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.297; state minimum 3.76; casemix expected 3.794; staffing rating 3.,,3.29663,3.76,3.79438,3,,215216,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
OAKLAND NURSING & REHABILITATION CENTER,Garrett,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.262; state minimum 3.76; casemix expected 3.539; staffing rating 3.,,3.26237,3.76,3.53898,3,,215232,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
GLEN MEADOWS RETIREMENT COM.,Glen Arm,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2021-05-12,,,,,,215278,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT BALTIMORE WASHINGTON,Glen Burnie,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-02-13,,,,,,215316,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
AUTUMN LAKE HEALTHCARE AT GLEN BURNIE,Glen Burnie,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2025-02-27,,,,,,215266,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
LARGO NURSING AND REHABILIATION CENTER,Glenarden,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2024-02-06,,,,,,215331,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
"GOODWILL MENNONITE HOME, INC.",Grantsville,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-04-11,,,,,,215250,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
COFFMAN NURSING HOME,Hagerstown,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-07-23,,,,,,215352,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
COMPLETE CARE AT HAGERSTOWN,Hagerstown,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2026-01-29,,,,,,215365,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
CREEKSIDE CENTER FOR REHABILITATION AND NURSING,Hagerstown,SNF,insufficient_staffing_citation,0947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",2026-02-06,,,,,,215113,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
Hagerstown Healthcare Center,Hagerstown,SNF,insufficient_staffing_citation,0730,Observe each nurse aide's job performance and give regular training.,2025-11-26,,,,,,215336,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
JULIA MANOR NURSING AND REHABILITATION  CENTER,Hagerstown,SNF,insufficient_staffing_citation,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",2023-08-14,,,,,,215321,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
WESTERN MD HOSPITAL CENTER,Hagerstown,SNF,insufficient_staffing_citation,0732,Post nurse staffing information every day.,2025-12-02,,,,,,215110,CMS_HEALTH_CITATIONS,https://data.cms.gov/provider-data/api/1/datastore/query/r5ix-sfxw/0,2026-07-03T00:04:34+00:00
STERLING CARE BEL AIR,Harford,SNF,below_state_mandated_care_hours,,Reported nurse HPRD 3.636; state minimum 3.76; casemix expected 4.159; staffing rating 2.,,3.63650,3.76,4.15939,2,,215312,CMS_NH_PROVIDER_INFO,https://data.cms.gov/provider-data/api/1/datastore/query/4pq5-n9py/0,2026-07-03T00:04:34+00:00
